id,ident,type,name,lat,long,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
44369,UA-0027,closed,Bliznyuki Air Base,48.876999,36.549999,NA,EU,Ukraine,UA,Kharkiv,UA-63,63,Lozovaya,0,UKHB,NA,NA,NA,NA,"Bliznetsy Air Base, Аэродром Близнюки, Аэродром Близнецы",0,2021-01-23T06:11:24Z
46268,UA-0060,closed,Gostra Mogila Airfield,48.532282,39.390879,NA,EU,Ukraine,UA,Luhansk,UA-09,09,Luhansk,0,NA,NA,NA,NA,NA,"Ostraya Mogila Airfield, Luhansk East Airfield, Lugansk Vostochny Airfield, Аеродром Гостра Могила, Аэродром Острая Могила, Аэродром Луганск Восточный",0,2021-04-11T13:50:22Z
342019,UA-0141,small_airport,Luhansk Aviation Sports Club Airfield,48.50259,39.150295,545,EU,Ukraine,UA,Luhansk,UA-09,09,Luhansk,0,NA,NA,NA,NA,NA,NA,0,2021-04-11T13:50:11Z
44393,UA-0030,closed,Luzhani Airfield,48.38399887084961,25.767000198364254,NA,EU,Ukraine,UA,Chernivtsi,UA-77,77,Luzhani,0,NA,NA,NA,NA,NA,"Luzhany Airfield, Chernivtsi Northwest Airfield, Chernovtsy Northwest Airfield, Аэродром Лужаны, Аэродром Черновцы Северозападные",0,2009-04-24T17:03:47Z
342020,UA-0142,heliport,Lysychansk Heliport,48.9323,38.4097,433,EU,Ukraine,UA,Luhansk,UA-09,09,Lysychansk,0,NA,NA,NA,NA,NA,NA,0,2021-03-10T13:45:15Z
46366,UA-0068,closed,Mala Vyska Airfield,48.632,31.616,NA,EU,Ukraine,UA,Kirovohrad,UA-35,35,Mala Vyska,0,NA,NA,NA,NA,NA,"Malaya Viska Airfield, Аеродром Мала Виска, Аэродром Малая Виска",0,2010-03-27T17:35:19Z
321490,UA-0109,small_airport,Malyn Airstrip,50.786675,29.246711,NA,EU,Ukraine,UA,Zhytomyr,UA-18,18,Malyn,0,NA,NA,NA,NA,NA,NA,0,2016-12-12T08:48:49Z
46264,UA-0056,small_airport,Mayske Airfield,48.491944,35.625933,NA,EU,Ukraine,UA,Dnipropetrovsk,UA-12,12,Mayske,0,NA,NA,NA,http://www.avia-soyuz.com.ua/,NA,"Mayskoye Airfield, Mayskoe Airfield, Аеродром Майське, Аэродром Майское",0,2021-04-11T13:47:55Z
44311,UA-0020,medium_airport,Melitopol Air Base,46.880001,35.305,NA,EU,Ukraine,UA,Zaporizhia,UA-23,23,Melitopol,0,UKDM,NA,NA,NA,NA,Аэродром Мелитополь,0,2017-10-20T01:35:46Z
44305,UA-0014,closed,Donuzlav Air Base,45.32699966430664,33.04999923706055,NA,EU,Ukraine,UA,Crimea,UA-43,43,Mirnyi,0,NA,NA,NA,NA,NA,Аэродром Донузлав,0,2009-04-20T05:59:43Z
46265,UA-0057,small_airport,Mospyne Airfield,47.841620693900005,38.100843429600005,NA,EU,Ukraine,UA,Donetsk,UA-14,14,Mospyne,0,NA,NA,NA,NA,NA,"Mospine Airfield, Mospino Airfield, Аеродром Моспине, Аэродром Моспино",0,2010-03-05T14:52:43Z
324998,UKOR,small_airport,Kulbakyne Air Base,46.936433,32.098618,177,EU,Ukraine,UA,Mykolaiv,UA-48,48,Mykolaiv,0,UKOR,NA,NA,NA,NA,NA,0,2021-01-27T16:19:19Z
45178,UA-0049,small_airport,Myrhorod Air Base,49.932,33.641,400,EU,Ukraine,UA,Poltava,UA-53,53,Myrhorod,0,NA,MXR,NA,NA,https://en.wikipedia.org/wiki/Myrhorod_Air_Base,"Mirgorod Air Base, Аэродром Миргород",0,2015-04-15T02:47:35Z
46270,UA-0062,small_airport,Liman Airfield,46.57851,30.703053,NA,EU,Ukraine,UA,Odessa,UA-51,51,Naberezhne,0,UKOE,NA,NA,http://www.airclub.odessa.ua/,NA,"Gidroport Airfield, Аэродром Лиман, Аэродром Гидропорт",0,2021-03-19T13:54:56Z
323947,UA-0116,small_airport,Nova Vasylivka Airstrip,50.3228953,28.3612108,NA,EU,Ukraine,UA,Zhytomyr,UA-18,18,Nova Vasylivka,0,NA,NA,NA,NA,NA,NA,0,2017-06-17T11:18:06Z
44402,UA-0036,closed,Dmitrievka Airfield,48.95000076293945,39.1150016784668,NA,EU,Ukraine,UA,Luhansk,UA-09,09,Novoaydar,0,NA,NA,NA,NA,NA,"Novoaydar Airfield, Аэродром Дмитриевка, Аэродром Новоайдар",0,2009-04-28T18:38:26Z
